dataset,frame,sample_idx,agl_m,zoom,gyro_mag,blur_score,texture_score,kp_query,kp_window,matches,inliers,cleared_min_inliers,note
isaac-sim-20260630_152940,242310,24230,99.4522,18,0.04019859750257332,751.5264107841315,123.86858122835383,1603,1594,57,44,True,
isaac-sim-20260630_152940,250090,25008,99.306,18,0.11507974751134371,650.7807368715971,129.3282864834784,1656,1619,36,21,False,
isaac-sim-20260630_152940,253110,25310,98.0306,18,0.05934770684496555,739.0156350969208,133.23575448590574,1537,1616,30,7,False,
isaac-sim-20260630_152940,257880,25787,92.0268,18,0.11318425506636698,879.3310816588421,133.1738169136622,1683,1630,24,8,False,
isaac-sim-20260630_152940,265090,26508,91.2748,18,0.09476635855627702,615.8454154559432,133.4405508880346,1703,1635,17,5,False,
isaac-sim-20260630_152940,265670,26566,92.95960000000001,18,0.11352130197776167,696.9086386317002,132.80244030020927,1699,1631,27,10,False,
isaac-sim-20260630_152940,273460,27345,86.885,18,0.09889125216464763,682.3459846944173,138.56226047232562,1663,1507,19,6,False,
isaac-sim-20260630_152940,277060,27705,87.02680000000001,18,0.1398858859307605,810.488620059305,133.92751007160564,1637,1569,61,35,True,
isaac-sim-20260630_152940,281240,28123,84.83160000000001,18,0.09657728710708291,728.8368677628007,129.6382326537341,1579,1604,10,4,False,
isaac-sim-20260630_152940,289030,28902,82.3934,18,0.06321386011703445,592.1293375786554,128.73649148276172,1658,1636,30,10,False,
isaac-sim-20260704_205334,1450,144,31.482000000000006,18,0.2676951116257979,67.19221699194335,119.58583570503032,250,1517,2,0,False,
isaac-sim-20260704_205334,12160,1215,118.2662,18,0.1341265427696868,718.7294756951648,119.50610399838021,1564,1522,13,5,False,
isaac-sim-20260704_205334,22870,2286,225.9824,18,0.10405864003473521,593.8759056319443,131.32949542660177,1513,1509,3,0,False,
isaac-sim-20260704_205334,33590,3358,239.9686,18,0.11477260922376945,523.7014599322164,128.94162267231238,1528,1514,16,5,False,
isaac-sim-20260704_205334,44300,4429,294.7272,18,0.06869898004422066,314.19291187420123,140.37541748726215,1560,1486,9,4,False,
isaac-sim-20260704_205334,55010,5500,309.2976,18,0.14339594483859391,345.12649235165895,134.80759065531305,1565,1491,1,0,False,
isaac-sim-20260704_205334,65720,6571,345.9582,18,0.10621968921141603,240.55596634403636,114.82905785012217,1620,1503,4,0,False,
isaac-sim-20260704_205334,76430,7642,343.4234,18,0.07587946750139583,288.1266024083448,117.16658570478727,1613,1454,0,0,False,
isaac-sim-20260704_205334,87140,8713,247.70579999999998,18,0.2747735358933049,179.6253802057985,124.88685229387565,1638,1500,5,0,False,
